시점,행정동,성별,나이,인구수
2023-07-15,광명2동,여자,34,16
2023-07-15,광명2동,여자,35,14
2023-07-15,광명2동,여자,36,19
2023-07-15,광명2동,여자,37,6
2023-07-15,광명2동,여자,38,11
2023-07-15,광명2동,여자,39,15
2023-07-15,광명2동,여자,40,15
2023-07-15,광명2동,여자,41,14
2023-07-15,광명2동,여자,42,24
2023-07-15,광명2동,여자,43,21
2023-07-15,광명2동,여자,44,21
2023-07-15,광명2동,여자,45,17
2023-07-15,광명2동,여자,46,12
2023-07-15,광명2동,여자,47,14
2023-07-15,광명2동,여자,48,14
2023-07-15,광명2동,여자,49,27
2023-07-15,광명2동,여자,50,15
2023-07-15,광명2동,여자,51,24
2023-07-15,광명2동,여자,52,24
2023-07-15,광명2동,여자,53,22
2023-07-15,광명2동,여자,54,33
2023-07-15,광명2동,여자,55,24
2023-07-15,광명2동,여자,56,27
2023-07-15,광명2동,여자,57,29
2023-07-15,광명2동,여자,58,34
2023-07-15,광명2동,여자,59,25
2023-07-15,광명2동,여자,60,23
2023-07-15,광명2동,여자,61,25
2023-07-15,광명2동,여자,62,44
2023-07-15,광명2동,여자,63,29
2023-07-15,광명2동,여자,64,47
2023-07-15,광명2동,여자,65,25
2023-07-15,광명2동,여자,66,40
2023-07-15,광명2동,여자,67,21
2023-07-15,광명2동,여자,68,30
2023-07-15,광명2동,여자,69,30
2023-07-15,광명2동,여자,70,22
2023-07-15,광명2동,여자,71,26
2023-07-15,광명2동,여자,72,20
2023-07-15,광명2동,여자,73,16
2023-07-15,광명2동,여자,74,25
2023-07-15,광명2동,여자,75,21
2023-07-15,광명2동,여자,76,26
2023-07-15,광명2동,여자,77,8
2023-07-15,광명2동,여자,78,11
2023-07-15,광명2동,여자,79,24
2023-07-15,광명2동,여자,80,17
2023-07-15,광명2동,여자,81,14
2023-07-15,광명2동,여자,82,14
2023-07-15,광명2동,여자,83,11
2023-07-15,광명2동,여자,84,10
2023-07-15,광명2동,여자,85,11
